date,title,url
20120510,101年5月1日至101年5月8日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201205100001
20120515,公告101年5月9日捕捉報表（狗） ,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201205150002
20120517,101年5月8日至101年5月16日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201205170002
20120525,101年5月17日至101年5月24日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201205250002
20120601,101年5月24日至101年5月30日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201206010002
20120601,101年5月2日至101年5月28日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201206010001
20120612,101年6月1日至101年6月8日捕捉報表（狗、貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201206120001
20120625,101年6月21日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201206250002
20120625,101年6月11日至101年6月21日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201206250001
20120702,101年6月26日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207020002
20120702,101年6月22日至101年6月26日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207020001
20120703,101年6月21日至101年6月30日捕捉報表（狗、貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207030001
20120713,101年7月3日至101年7月11日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207130002
20120713,101年7月1日至101年7月10日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207130001
20120719,101年7月11日至101年7月17日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207190001
20120730,101年7月17日至101年7月24日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207300001
20120731,101年7月16日至101年7月27日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207310002
20120731,101年7月25日至101年7月30日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201207310001
20120814,101年7月30日至101年8月3日捕捉報表（狗、貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201208140001
20120817,101年8月8日至101年8月13日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201208170001
20120827,101年8月13日至101年8月20日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201208270001
20120907,101年8月16日至101年8月27日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201209070002
20120907,101年8月21日至101年8月31日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201209070001
20120912,101年9月1日至101年9月3日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201209120001
20120919,101年9月3日至101年9月13日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201209190001
20121005,101年9月18日至101年9月26日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210050002
20121005,101年9月17日至101年9月26日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210050001
20121011,101年10月1日至101年10月4日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210110001
20121017,101年10月5日至101年10月10日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210170001
20121022,101年10月10日至101年10月15日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210220001
20121030,101年10月16日至101年10月25日捕捉報表（狗,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210300002
20121030,101年10月8日至101年10月23日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201210300001
20121105,101年10月25日至101年10月30日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201211050001
20121112,101年11月2日至101年11月9日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201211120002
20121112,101年11月1日至101年11月7日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201211120001
20121119,101年11月7日至101年11月13日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201211190001
20121128,101年11月13日至101年11月20日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201211280001
20121203,101年11月12日至101年11月30日捕捉報表（狗、貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201212030002
20121214,101年12月4日至101年12月7日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201212140002
20121214,101年12月1日至101年12月11日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201212140001
20121219,101年12月11日至101年12月17日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201212190001
20121228,101年12月17日至101年12月24日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201212280001
20130104,101年12月22日至101年12月27日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201301040002
20130104,101年12月24日至101年12月28日捕捉報表（狗),home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201301040001
20130116,102年1月1日至102年1月8日捕捉報表（狗,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201301160001
20130124,102年1月8日至102年1月15日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201301240005
20130206,102年1月2日至102年1月14日捕捉報表（貓,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201302060002
20130206,102年1月16日至102年1月31日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201302060001
20130227,102年2月2日至102年2月20日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201302270001
20130305,102年2月1日至102年2月27日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201303050002
20130305,102年2月20日至102年2月27日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201303050001
20130318,102年3月1日至102年3月13日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201303180001
20130322,102年3月14日至102年3月19日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201303220001
20130329,102年3月4日至102年3月21日捕捉報表（貓）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201303290002
20130403,102年3月19日至102年4月1日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201304030001
20130409,102年3月31日至102年3月31日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201304090001
20130416,102年4月1日至102年4月6日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201304160001
20130417,102年4月10日至102年4月15日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201304170002
20130417,102年4月8日至102年4月10日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201304170001
20130430,102年4月15日至102年4月24日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201304300001
20130508,102年5月2日至102年5月3日捕捉報表（狗）,home.jsp?mserno=201110060008&serno=201110130001&contlink=ap\\\/unit1_view.jsp&dataserno=201305080006
